id,organizationStatus,name,alternateName,description,email,website,taxStatus
1862,active,"Caring Place, The",,Provides basic needs assistance for households in financial crisis in Georgetown and Northern Williamson County.,,https://www.caringplacetx.org,"[""Nonprofit - Incorporated""]"
1864,active,Caritas of Austin,,Provides a community kitchen for area residents.,,https://www.caritasofaustin.org,"[""Nonprofit - Incorporated""]"
1899,active,"CASA for the Highland Lakes Area, Inc.",Court Appointed Special Advocates for the Highland Lakes Area; CASA of Highland Lakes,"Speaks up for children who have experienced abuse or neglect by training volunteers who serve as a child's volunteer advocate in court, in school, and in the community.",,https://www.highlandlakescasa.com,"[""Nonprofit - Incorporated""]"
1901,active,Casa Marianella,Posada Esperanza,"Provides an emergency shelter for recent male and female immigrants, transitional housing for immigrant women with children, and ESL classes.",,https://www.casamarianella.org,"[""Nonprofit - Incorporated""]"
1902,active,"CASA of Bastrop, Fayette & Lee Counties, Inc.",Court Appointed Special Advocates,Provides child advocacy services by training community volunteers to be Court Appointed Special Advocates (CASA).,,https://www.casabfl.org,"[""Nonprofit - Incorporated""]"
1905,active,"CASA of Central Texas, Inc.",CASA Centex; Court Appointed Special Advocates San Marcos; Court Appointed Special Advocates New Braunfels; Court Appointed Special Advocates of Central Texas Inc,"Advocates for children in the court system who have experienced abuse or neglect by recruiting, training, and supporting community volunteers.",info@casacentex.org,https://www.casacentex.org,"[""Nonprofit - Incorporated""]"
1917,active,CASA of Travis County,Court Appointed Special Advocates of Travis County,"Speaks up for children who have experienced abuse or neglect by training volunteers who serve as a child's volunteer advocate in court, in school, and in the community.",,https://www.casatravis.org,"[""Nonprofit - Incorporated""]"
1921,active,CASA of Williamson County,,Provides child advocacy services by training community volunteers to be Court Appointed Special Advocates (CASA).,,https://casawilco.org,"[""Nonprofit - Incorporated""]"
1926,active,Casey Family Program - Austin Field Office,,"Provides permanency support services to youth who are in the conservatorship of Child Protective Services (CPS) who may be at risk of aging out of foster care.Provides services for families who have been referred to CPS, but whose children remain in their home, to help prevent the children from entering foster care.",,https://www.casey.org/austin,"[""Nonprofit - Incorporated""]"
1940,active,"Castle Cares Community Ministries, Inc.",The Warrior's Refuge,,,https://www.thewarriorsrefuge.us,"[""Nonprofit - Incorporated""]"
1951,active,Catalyst Collective,,Provides in-person and remote mentoring for youth and young adults. Works to help students discover their unique design and purpose.,,https://www.catalystcollective.community,"[""Nonprofit - Incorporated""]"
1962,active,Catholic Charities of Central Texas,Catholic Charities of Austin; Catholic Charities of Bryan-College Station,"Serves the community through a variety of programs, including: counseling services, disaster response, financial stability, immigration legal services, parenting and pregnancy support.",,https://www.ccctx.org,"[""Nonprofit - Incorporated""]"
1993,active,Cedar Park Fire Department,CPFD,Provides fire protection services for Cedar Park.,,https://www.cedarparktexas.gov/751/Fire-Department,"[""Government - City""]"
1994,active,Cedar Park Police Department,Cedar Park PD,"Provides law enforcement, victim services, and animal control services for the City of Cedar Park.Sponsors the Blue Santa program.",,https://www.cedarparktexas.gov/departments/police-department,"[""Government - City""]"
1995,active,Cedar Park Public Library,,Provides library services for the City of Cedar Park.,,https://www.cedarparktexas.gov/library,"[""Government - City""]"
2002,active,Celebration of Love,,Provides a weekly food pantry.,,https://www.celebrationoflove.org,"[""Nonprofit""]"
2007,active,Cenikor Foundation,,Provides substance abuse and behavioral health services for adults and adolescents.,info@cenikor.org,https://www.cenikor.org/,"[""None or unknown""]"
2011,active,Cenikor Foundation - Greater Austin Area,Hays-Caldwell Council on Alcohol and Drug Abuse,Provides inpatient detoxification and residential substance use disorder treatment programs for adults.Provides outpatient substance use disorder and behavioral health services for adults and adolescents.Provides substance use prevention programs for adults and adolescents.,,https://www.cenikor.org,"[""Nonprofit - Incorporated""]"
2017,active,Cenote,,Provides a free Thanksgiving meal.,,,"[""Commercial""]"
2022,active,"Center for AIDS Information & Advocacy, The",CFA,Provides information and advocacy services for people living with HIV/AIDS.,info@centerforaids.org,https://www.centerforaids.org,"[""Nonprofit""]"
2023,active,"Center for Autism & Related Disorders, LLC",,Provides focused ABA services through local community agencies and organizations.,Childrens.Autism.Program@hhs.texas.gov,https://www.hhs.texas.gov/services/disability/autism,"[""Nonprofit - Unincorporated""]"
2026,active,Center for Child Protection,"The Travis County Children's Advocacy Center, Inc. (former name)","Operates a Children's Advocacy Center in Travis County serving suspected child victims of abuse or neglect and children who have witnessed a violent crime. Assists with recorded forensic interviews, medical exams, counseling, and intervention during the investigation and prosecution of crimes against children.",,https://www.centerforchildprotection.org,"[""Nonprofit - Incorporated""]"
2041,active,Center for Survivors of Torture,,"Facilitate healing, ease transition into new beginnings, and foster hope in survivors of torture, by providing specialized services addressing their comprehensive psychological, medical, and social and legal needs; generating legal referrals; providing training opportunities for state-of-the-art professional service delivery; and collecting outcome measurements.",radhika@cstnet.org,https://www.cstnet.org,"[""Nonprofit - Incorporated""]"
2057,active,Centers For Disease Control and Prevention (CDC),,"Monitors the American people's health, detects and investigates health problems, conducts research to enhance prevention, develops and advocates sound public health policies, and implements prevention strategies.",,http://www.cdc.gov,"[""Government - Federal""]"
2058,active,Centers for Medicare and Medicaid Services (CMS),,"Administers Medicare, Medicaid, CHIP, and Health Insurance Marketplace services through the division of the Health and Human Services.",,https://www.cms.gov,"[""Government - Federal""]"
2062,active,"Cen-Tex Family Services, Inc.",Hearts of Texas Head Start Program,"Provides Head Start and Early Head Start programs in Bastrop, Fayette, Lee, and Colorado counties.",,https://www.ctfhs.org,"[""Nonprofit - Incorporated""]"
2064,active,Cen-Tex Regional Juvenile Services Department,"Cen Tex Regional Juvenile Services Department,CenTex Regional Juvenile Services Department",,bastropcjpo@yahoo.com,,"[""Government""]"
2071,active,Central Health,MAP; Travis County Healthcare District,Provides access to healthcare for eligible Travis County residents.,,http://centralhealth.net,"[""Government - County""]"
2077,active,Central Texas Area Narcotics Anonymous,Central Texas NA; CTANA; Central Texas Area of Narcotics Anonymous,Operates a helpline and hosts daily support group meetings for individuals with drug use or dependency.,,https://www.ctana.org,"[""Nonprofit - Unincorporated""]"
2083,active,Central Texas Dispute Resolution Center,Hays DRC; HCDRC; Hays County Dispute Resolution Center,Provides mediation services to assist in dispute resolution. Offers training courses in mediation.,,http://centexdrc.org,"[""Nonprofit - Incorporated""]"
2084,active,Central Texas Food Bank,Capital Area Food Bank (former name); CAFB; CTFB; Austin Food Bank,"Collects, houses, and distributes donated and reduced-cost food across Central Texas.Partners with agencies throughout Central Texas to distribute food to clients via the Wheels of Sharing Mobile Pantry, Fresh Food for Families, and HOPE programs.Assists individuals in applying for state benefits. Hosts nutrition education, cooking, and breastfeeding classes.",,https://www.centraltexasfoodbank.org,"[""Nonprofit - Incorporated""]"
2087,active,Central Texas Regional Mobility Authority,"CTRMA, Mobility Authority","Serves as an independent government agency responsible for designing the regional transportation network for Central Texas. Operates the HERO Program, offering free roadside assistance. Operates the Mobility Authority Austin-area toll roads.",,https://www.mobilityauthority.com,"[""Government - Regional""]"
2090,active,Central Texas Tattoo Removal Project,CTTRP,"Provides tattoo removal that might hinder employment, military service, are offensive or cause embarrassment for the individual.",,https://www.cttrp.org,"[""Nonprofit - Incorporated""]"
2093,active,Central Texas Veterans Health Care System,Central Texas Veterans Affairs Health Care System; Central Texas Veterans Health Care System; CTVHCS;  Department of Veterans Affairs; US Department of Veterans Affairs; VA Heart of Texas Healthcare Network VISN 17; Veterans Affairs Heart of Texas,"Central Texas Veterans Health Care System is part of the VA Heart of Texas Healthcare Network (VISN 17), which includes VA North Texas Health Care System and South Texas Veterans Health Care System. Serves veterans in Central Texas at VA Temple and Waco Medical Centers, Austin Outpatient Clinic, community-based outpatient clinics in Brownwood, Bryan/College Station, Cedar Park and Palestine and the La Grange VA Outreach Clinic.",,https://www.centraltexas.va.gov,"[""Government - Federal""]"
2095,active,Central Texas Voluntary Organizations Active in Disaster (CTXVOAD),Central Texas VOAD; CenTex VOAD; Travis County VOAD; Hays County VOAD; Caldwell County VOAD; Bastrop County VOAD,Operates a membership-based organization made up of independent voluntary organizations who prepare for and respond to local disasters.,,https://www.centraltxvoad.com,"[""Coalition""]"
2097,active,Centro de Información y Asistencia a Mexicanos,,Provides information to Mexican nationals via the Consular Network of Mexico in the United States,,,"[""Government""]"
2117,active,Changes Counseling Services,,Provides outpatient chemical dependency services.,info@ccs.com,https://www.changescounseling.com,"[""Commercial""]"
2124,active,Chariot,"Drive a Senior - Central Texas, Drive a Senior - South Austin; Drive a Senior - Southwest Austin; Faith in Action Caregivers South Austin; Drive a Senior SA; FIASA",Provides transportation services to ambulatory seniors.,,https://chariot.org,"[""Nonprofit - Incorporated""]"
2128,active,"Charlie Center, The",,Provides navigation services to help individuals move from homelessness into housing.,,https://www.thecharliecenter.org/,"[""Nonprofit - Incorporated""]"
2129,active,Charlie Health,,"Provides a virtual intensive outpatient program for adolescent and young adults ages 12-28. Includes group, family, and individual therapy for 9 to 11 hours a week.",admissions@charliehealth.com,https://www.charliehealth.com/,"[""Commercial""]"
2137,active,Chestnut Senior Housing,CNRC; Franklin Gardens; Chestnut Neighborhood Revitalization Corporation,Provides affordable housing for older adults.,,https://www.prakpropertymanagement.com/,"[""Nonprofit - Incorporated""]"
2159,active,Child Care Aware of America,,"Works with more than 400 state and local Childcare Resource and Referral agencies nationwide. Leads projects designed to increase the quality and availability of childcare, undertakes research, and advocates childcare policies that are designed to positively impact the lives of children and families.",,https://www.childcareaware.org/,"[""Nonprofit - Incorporated""]"
2165,active,Child Find Of America,,"Works to prevent and resolve all cases of missing, abducted and runaway children. To insure that every child thrives in a safe, healthy and legal environment, Child Find provides professional services designed to prevent and resolve child abduction and the family conflicts that can lead to abduction and abuse.",,http://www.childfindofamerica.org,"[""Nonprofit - Incorporated""]"
2166,active,Child Inc.,Child Incorporated,"Provides early childhood education and family support services to young children at 16 Child Development Centers, home-based services, and 80 classrooms at center-based and school district partnerships throughout the Austin area.",,http://childinc.org,"[""Nonprofit - Incorporated""]"
2170,active,Childhelp,,"Helps victims of child abuse and neglect with a focus on prevention, intervention, and treatment.",,http://www.childhelp.org,"[""Nonprofit - Incorporated""]"
2171,active,Children and Adults with Attention-Deficit Hyperactivity Disorder (CHADD),,"Provides education, advocacy and support for individuals with Attention-Deficit/Hyperactivity Disorder (ADHD). Publishes a variety of printed materials to keep members and professionals current on research advances, medications and treatments affecting individuals with ADHD.",,http://www.chadd.org/,"[""Nonprofit - Unincorporated""]"
2191,active,"Children's Advocacy Center Serving Bastrop, Lee, and Fayette Counties","CAC Serving Bastrop Fayette & Lee Counties; Children's Advocacy Center of Bastrop, Lee, and Fayette Counties (former name)","Provides a Children's Advocacy Center for Bastrop, Lee, and Fayette Counties that works to minimize and reduce re-victimization of child victims of abuse during the investigation and prosecution phases of child abuse cases.",,https://www.childrensadvocacycenter.org,"[""Nonprofit - Incorporated""]"
2201,active,"Children's Connections, Inc. (CCI)",,"Provides help for pregnant women in Texas experiencing a crisis pregnancy by providing support, adoption information, and counseling. All services for pregnant women are free of charge. Agency works with pregnant women who: are crime victims (whether they have filed a police report or not); have medical needs; or feel unready to parent their baby.",,https://www.childrensconnections.org,"[""Nonprofit - Incorporated""]"
2211,active,Children's Organ Transplant Association,,Provides fundraising assistance to families with children who need a life-saving transplant.,,https://www.cota.org,"[""Nonprofit - Incorporated""]"
2215,active,Children's Wish Foundation International (CWFI),,"Offer critically or chronically ill children the chance to receive an age appropriate wish. Provides toys, games, and items to hospitals to reduce anxieties of treatment and empower children to face the difficulties ahead.",,http://www.childrenswish.org,"[""Nonprofit - Incorporated""]"
2228,active,Chive Charities,,"Selects a few causes each month in need of public awareness and financial help. Based on the recipient's needs, the organization determines a grant amount that may cover essential medical needs, quality of life enhancements, organizational development, or overall program sustainability.",,https://www.chivecharities.org,"[""Nonprofit - Incorporated""]"
2231,active,Chorus Austin,"Austin Symphonic Chorus, Austin Chamber Ensemble, Austin Civic Chorus, Austin Civic Chorus, Inc ,Summer Musical Children ,Vocal Arts Ens., Austin Youth/Childrenâ??s Chorus",Performs choral concerts and musical programs for the greater Austin area. Works to bring choral music to new audiences through outreach and education programs.,,https://www.chorusaustin.org,"[""None or unknown""]"
2241,active,"Christi Center, The","Christi Center; For the Love of Christi, Inc; Christi Center; For the Love of Christi",Facilities support groups for people experiencing grief due to the death of a loved one.Educates the public about grief and bereavement.,,https://www.christicenter.org,"[""Nonprofit - Incorporated""]"
2266,active,"Christian Record Services, Inc.",,Provides free Christian publications for people with visual impairments.,,http://www.christianrecord.org,"[""Nonprofit - Incorporated""]"
2281,active,Christian Women's Job Corps of the Highland Lakes,,Provides a job readiness program for women.,,https://www.cwjchl.org,"[""Nonprofit - Incorporated""]"
2289,active,Christmas Assistance (Blue and Brown Santa),Christmas Bureau of Austin and Travis County,"Provides holiday assistance through Blue Santa for Austin residents and Brown Santa for Travis County residents outside of Austin, Pflugerville, Cedar Park, and Leander city limits.",,https://www.bluesanta.org,"[""Nonprofit""]"
2299,active,Christopher & Dana Reeve Foundation,,Provides support to individuals living with paralysis.,,https://www.christopherreeve.org/,"[""Nonprofit - Incorporated""]"
2310,active,CHRISTUS Santa Rosa Health System - Hays County,CTMC; Central Texas Medical Center (former name),"Provides hospital, hospice and healthcare services.",,https://www.christushealth.org,"[""Nonprofit - Incorporated""]"
2381,active,City of Austin  - Communications and Public Information Office,Channel 6,,,https://www.austintexas.gov/department/communications,
2382,active,City of Austin - 3-1-1 Information Center,,Provides a citywide information center for the City of Austin. Serves as a single point of contact for every city department.,,https://www.austintexas.gov/department/311,"[""Government - City""]"
2383,active,City of Austin - ADA Office,City of Austin Disabilities Office,"Serves as the City of Austin's Section 504/ADA Coordinator to ensure that the City of Austin's programs, services, and facilities comply with the Americans with Disabilities Act.",ADA@austintexas.gov,https://austintexas.gov/department/americans-disabilities-act-office,"[""Government - City""]"
2384,active,City of Austin - Austin Animal Center,Austin Animal Shelter; Town Lake Animal Center; Town Lake Animal Shelter,"Provides animal services for the City of Austin, including: animal control, and pet adoption and placement services.Operates a no-kill animal shelter.",,http://austintexas.gov/department/aac,"[""Government - City""]"
2385,active,City of Austin - Austin Energy,,Provides electricity to the City of Austin.,,https://www.austinenergy.com,"[""Government""]"
2386,active,City of Austin - Austin Resource Recovery,Solid Waste Services (former name),Provides residential trash and recycling collection. Maintains city streets. Operates a drop-off center for household hazardous waste and bulk items.,,https://austintexas.gov/department/austin-resource-recovery,"[""Government - City""]"
2387,active,City of Austin - Aviation Department,,Oversees operations for Austin-Bergstrom International Airport.,,https://www.austintexas.gov/airport,"[""Government - City""]"
2388,active,City of Austin - Child Safety Program,,Promotes safety for children traveling to school. Provides crossing guards for City of Austin elementary schools.,,https://austintexas.gov/department/child-safety-program,"[""Government - City""]"
2389,active,City of Austin - City Hall/City Council,Austin City Council; Austin City Hall; Austin City Manager; Austin Mayor,"Serves as the administrative body for the City of Austin, including governing and maintaining city services.",,https://austintexas.gov,"[""Government - City""]"
2390,active,City of Austin - Economic Development Department (EDD),Economic Growth Redevelopment Services Office; EGRSO,"Creates an sustainable cultural and economic environment through programs which enhance the growth of the city of Austin. Supports local initiatives through their Cultural Arts, Global Business Expansion, Music and Entertainment, Redevelopment, and Small Business divisions.",,http://www.austintexas.gov/department/economic-development,"[""Government - City""]"
2391,active,City of Austin - Zoning and Planning Department,Austin Planning and Review Department; City of Austin - Planning and Zoning Department,"Responsible for planning, zoning, annexation, historic preservation, demographics, displacement prevention, creating and preserving affordable housing and design services.Provides consultation, review, and inspection services for land development.",,http://austintexas.gov/department/housing-planning,"[""Government - City""]"
2392,active,City of Austin - Human Resources Department,,Administers benefits and maintains records for current and former City employees. Maintains the City of Austin job website. Operates multiple Employment Assistance Centers. Houses the Veterans Services Office and the Civil Service Office.,,http://austintexas.gov/department/human-resources,"[""Government - City""]"
2393,active,City of Austin - Municipal Court,,"Serves as magistrate of the State. Presides over court cases of Class C misdemeanors including traffic, city ordinance, and state code violations in the City of Austin.",,http://austintexas.gov/department/municipal-court,"[""Government - City""]"
2394,active,City of Austin - Housing Department,Neighborhood Housing and Community Development (NHCD),"Provides housing, community development, and small business development services.",,http://austintexas.gov/department/housing,"[""Government""]"
2395,active,City of Austin - Office of Homeland Security and Emergency Management,Austin Emergency Management Office; Austin OEM; Austin HSEM,Plans and prepares for disasters and emergencies. Educates the public about preparedness. Coordinates emergency response and recovery in the City of Austin.,,https://www.austintexas.gov/department/homeland-security-and-emergency-management,"[""Government - City""]"
2396,active,City of Austin - Office of the City Clerk,,Preserves and provides public access to city council documents. Manages municipal elections.,,https://www.austintexas.gov/department/city-clerk,"[""Government - City""]"
2397,active,City of Austin - Office of the Police Oversight,OPM; Office of Police Monitor,"Receives and assesses citizen compliments and complaints regarding Austin Police Department officers. Monitors APD policies, practices, and Internal Affairs investigations.",,http://austinpolicemonitor.com,"[""Government - City""]"
2398,active,City of Austin - Parks and Recreation Department,City of Austin - PARD,Provides park and recreation services for the city of Austin.,,https://www.austintexas.gov/department/parks-and-recreation,"[""Government - City""]"
2399,active,City of Austin - Public Works Department,,"Responsible for major capital improvement projects within the City of Austin. Supports bicycle, pedestrian, safe routes to school, and urban trail projects. Maintains the city's streets, roadways, and bridges.",,https://www.austintexas.gov/department/public-works,"[""Government - City""]"
2400,active,City of Austin - Telecommunications and Regulatory Affairs,,Operates the Financial Advocacy Resources (FAR) team with the City of Austin to enforce the city's Credit Services Organizations (CSO) and Credit Access Business (CAB) Ordinance.,,http://austintexas.gov/department/credit-access-business-registration,"[""Government - City""]"
2402,active,City of Austin - Watershed Protection,Austin Watershed Protection,"Responsible for maintaining and improving water quality, reducing flood impacts to life and property, creating a stable stream system that decreases property loss from erosion and increases the beneficial uses of waterways, and providing adequate maintenance of drainage infrastructure.",,http://www.austintexas.gov/department/watershed-protection,"[""Government - City""]"
2403,active,City of Austin Water Utility,Green Water Treatment Plant; Austin Water Utility; ATX Water; Austin Water and Wastewater Commission,Manages water resources for the City of Austin. Operates and maintains the water and wastewater treatment and distribution systems. Provides water conservation information and rebates.,,https://austintexas.gov/department/water,"[""Government - City""]"
2408,active,City of Bastrop,"Bastrop City Council, Bastrop City Hall, Bastrop Mayor","Serves as the administrative body for the City of Bastrop, including governing and maintaining city services.",,https://www.cityofbastrop.org,"[""Government - City""]"
2415,active,City of Bee Cave,City of Bee Caves,"Serves as the administrative body for the city of Bee Cave, including governing and maintaining city services.",,https://www.beecavetexas.gov,"[""Government - City""]"
2422,active,City of Bertram,,Provides city services for the city of Bertram.,,www.cityofbertram.org,"[""Government - City""]"
2426,active,City of Blanco,,Provides city services for the City of Blanco.,,https://www.cityofblancotx.gov,"[""Government - City""]"
2445,active,City of Buda,,Provides city services for the City of Buda.,,http://ci.buda.tx.us,"[""Government - City""]"
2450,active,City of Burnet,,Provides city services for the city of Burnet.,,https://www.cityofburnet.com,"[""Government - City""]"
2461,active,City of Cedar Park,,Serves as the governing body for the City of Cedar Park.,,https://www.cedarparktexas.gov,"[""Government - City""]"
2532,active,City of Dripping Springs,,Provides city services for the City of Dripping Springs.,,https://www.cityofdrippingsprings.com,"[""Government - City""]"
2556,active,City of Elgin,,Provides city services for the city of Elgin.,,http://www.elgintx.com,"[""Government - City""]"
2567,active,City of Fayetteville,,Provides city services for the City of Fayetteville.,,https://www.fayetteville.texas.gov,"[""Government - City""]"
2568,active,City of Florence,,Serves as the administrative body for the City of Florence. Provides public library services.,,https://www.florencetex.com,"[""Government - City""]"
2592,active,City of Georgetown,,"Serves as the administrative body for the City of Georgetown, including governing and maintaining city services.",,https://www.georgetown.org,"[""Government - City""]"
2593,active,City of Giddings,,Provides city services for the city of Giddings.,,https://www.giddings.net,"[""Government - City""]"
2608,active,City of Granger,"Granger City Hall, Granger City Council",Serves as the administrative offices for the City of Granger.,,https://www.cityofgranger.org,"[""Government - City""]"
2631,active,City of Horseshoe Bay,,Provides city services for the City of Horseshoe Bay.,,https://www.horseshoe-bay-tx.gov/,"[""Government - City""]"
2656,active,City of Hutto,,"Serves as the main administrative office for the City of Hutto, located in Williamson County.",,https://www.huttotx.gov,"[""Government - City""]"
2664,active,City of Jarrell,"Jarrell City Hall, Jarrell City Council",Serves as administrative offices for the City of Jarrell.,,https://www.cityofjarrell.com,"[""Government - City""]"
2670,active,City of Johnson City,,Provides city services for the City of Johnson City.,,https://www.johnsoncitytx.org,"[""Government - City""]"
2686,active,City of Kyle,,"Serves as the administrative body for the city of Kyle, including governing and maintaining city services.",,https://www.cityofkyle.com,"[""Government - City""]"
2688,active,City of La Grange,,Provides city services for the city of La Grange.,,https://www.cityoflg.com,"[""Government - City""]"
2696,active,City of Lago Vista,,Provides city services for the City of Lago Vista.,,http://lagovistatexas.org,"[""Government - City""]"
2701,active,City of Lakeway,,"Serves as the administrative body for the City of Lakeway, including governing and maintaining city services.",,https://www.lakeway-tx.gov,"[""Government - City""]"
2722,active,City of Leander,,"Serves as the administrative office for the City of Leander, including governing and maintaining city services.",,https://www.leandertx.gov,"[""Government - City""]"
2730,active,City of Llano,,Provides city services for the City of Llano.,,https://www.cityofllano.com,"[""Government - City""]"
2731,active,City of Lockhart,,Provides city services for the City of Lockhart.,,https://www.lockhart-tx.org,"[""Government - City""]"
2743,active,City of Luling,,Provides city services for the City of Luling.,,https://cityofluling.net,"[""Government - City""]"
2747,active,City of Manor,,Serves as the administrative body for the City of Manor.,,https://www.cityofmanor.org,"[""Government - City""]"
2749,active,City of Marble Falls,,Provides city services for the City of Marble Falls.,,https://marblefallstx.gov,"[""Government - City""]"
2750,active,City of Marble Falls - Municipal Court,"MF Court, Marbles Falls Municipal Court",Serves as magistrate of the State. Presides over court cases of Class C misdemeanors and City Ordinance violations in Marbles Falls in Burnet County.,,http://ci.marble-falls.tx.us/161/Municipal-Court,"[""Government""]"
2751,active,City of Marble Falls - Public Works Department,,Provides information on city transportation issues.,,https://www.ci.marble-falls.tx.us/public_works.html,"[""Government""]"
2821,active,City of Pflugerville,,Provides city services for the City of Pflugerville.,,http://pflugervilletx.gov,"[""Government - City""]"
2870,active,City of Rollingwood,,"Serves as the administrative office for the City of Rollingwood, located in Travis County.",,https://www.cityofrollingwood.com,"[""Government - City""]"
2874,active,City of Round Rock,,Serves as the administrative body for the City of Round Rock in Williamson County.,,https://www.roundrocktexas.gov,"[""Government - City""]"
2875,active,City of Round Rock - Parks and Recreation Department,Round Rock PARD,Provides park and recreation services for the City of Round Rock.,,https://www.roundrocktexas.gov/parksandrec,"[""Government - City""]"
2910,active,City of San Marcos,,"Serves as the administrative body for the City of San Marcos, including government and city services.",,https://www.sanmarcostx.gov,"[""Government - City""]"
2911,active,City of San Marcos - Parks and Recreation Department,San Marcos Parks and Rec; San Marcos PARD,Provides park and recreation services for the city of San Marcos.,,https://www.sanmarcostx.gov/153/Parks-Recreation,"[""Government - City""]"
2928,active,City of Smithville,,Provides city services for the city of Smithville.,,https://www.ci.smithville.tx.us,"[""Government - City""]"
2958,active,City of Taylor,"Taylor City Council, Taylor City Hall, Taylor City Manager, Taylor Mayor",Serve as the main administrative office for the City of Taylor.,,http://taylortx.gov/,"[""Government - City""]"
2966,active,City of Thrall,,Provides city services for the City of Thrall.,,http://cityofthrall.com,"[""Government - City""]"
2995,active,City of West Lake Hills,City of Westlake,"Serves as the administrative body for the City of West Lake Hills. Governs, maintains and provides city services for the City of West Lake Hills.",,https://www.westlakehills.org,"[""Government - City""]"
3027,active,CK Family Services,"Covenant Kids, Inc.; CK Behavioral Health","Provides mental and behavioral health services to children, youth, and families.",,http://ckfamilyservices.org,"[""Nonprofit - Incorporated""]"
3039,active,Cleaning for a Reason,,"Partners with more than 1,200 residential cleaning services throughout the United States and Canada to offer free house cleaning to households battling cancer.",,https://www.cleaningforareason.org,"[""Nonprofit - Incorporated""]"
3049,active,"Cleft Advocate, Inc.",,"Provides information, local resources, online and offline support networks, and advocacy guidelines to families whose lives have been affected by cleft lip and/or palate or other craniofacial anomalies.",debbie@cleftadvocate.org,http://www.cleftadvocate.org/TX.html,"[""Nonprofit""]"
3056,active,Clinica Betesda,Clinic Bethesda,"Provides healthcare clinics each month, offering women's health services and primary healthcare services for adults.",,,"[""Nonprofit""]"
3067,active,"Clutterers Anonymous World Service Organization, Inc.","Clutterers Anonymous, CLA","Provides a fellowship of individuals who have had a problem with clutter and want to address the issue. Offers literature, resources, information about the 12 step program, and support groups nationally and internationally for those wanting to do something about their clutter problem.",,https://clutterersanonymous.org/,"[""Nonprofit - Incorporated""]"
3076,active,Coalition of Texans with Disabilities (CTD),,"Works to ensure that persons with disabilities may work, live, learn, play and participate fully in the community of their choice. Focuses on the areas of governmental advocacy, public awareness activities, and professional disability consulting to fulfill its mission.",,http://www.txdisabilities.org,"[""Nonprofit - Incorporated""]"
3077,active,Coalition To Salute America's Heroes,,Provides emergency financial aid to combat wounded veterans who were injured while serving Boots on the Ground in Iraq or Afghanistan.,,http://www.saluteheroes.org,"[""Nonprofit - Incorporated""]"
3105,active,Co-Dependents Anonymous (CoDA),,Provides a fellowship of men and women whose common purpose is to develop healthy relationships.,,,"[""Nonprofit - Incorporated""]"
3122,active,College Board,,Provides programs that expands access to higher education to students across the country. Administers the SAT Test.,,https://www.collegeboard.org/,"[""Nonprofit - Incorporated""]"
3224,active,Combined Arms,Texas Veterans Network,"Connects veterans to a network of resources and customized services through combined efforts with partner organizations locally, statewide, and nationally.",info@combinedarms.us,https://combinedarms.us/,"[""Nonprofit - Incorporated""]"
3225,active,"Combined Community Action, Inc.",CCA,"Provides a variety of programs to eligible area residents, including: basic needs assistance, case management for children and pregnant women, a weatherization program, and a senior nutrition program.",,https://www.ccaction.com,"[""Nonprofit - Incorporated""]"
3239,active,CommuniCare Health Centers (Hays County),CommuniCare Health Centers: Community Care Health Centers,"Provides primary healthcare services in Bexar and Hays Counties. Offers an array of services including pediatric medicine, family medicine, senior care, women's health, dental, and behavioral health.Corporate office is located in San Antonio.",,https://www.communicaresa.org,"[""Nonprofit - Incorporated""]"
3243,active,"Communication Service for the Deaf, Inc. (CSD) of Texas",CSD,"Works to expand communication access for individuals who are deaf, deaf-blind, and hard of hearing. Offers Vineya, an online request and management system that brings together providers, deaf individuals, and sign language interpreters to find and schedule American Sign Language interpretation services",,https://www.csd.org/,"[""Nonprofit - Incorporated""]"
3244,active,Communities for Recovery,CforR; Volunteers at the Creek,"Serves as a Recovery Community Organization (RCO). Provides peer services and support for individuals in recovery from substance use, or substance use and mental illness.Offers a Recovery Cafe, computer lab, career closet, peer recovery coaching, support groups, wellness program, social events, and resource navigation.",,https://communitiesforrecovery.org,"[""Nonprofit - Incorporated""]"
3249,active,Communities in Schools of Central Texas (CIS),78744 Youth of Promise Initiative; YIP; Tech Tots; TechTots,Provides support to students and their families by offering resources and relationships that empower students to stay in school and achieve in life.,,https://ciscentraltexas.org,"[""Nonprofit - Incorporated""]"
3267,active,Community Action Commission of Santa Barbara County,,Accepts monetary donations for the Montecito Mudslides.,,,"[""Nonprofit - Incorporated""]"
3275,active,"Community Action, Inc. of Central Texas",,"Offers a variety of community services, including: adult education, head start, utility assistance, senior services, and health services.",,https://www.communityaction.com,"[""Nonprofit - Incorporated""]"
3276,active,Community Advancement Network (CAN),Community Action Network (former name); CAN,"Serves as a partnership between government, nonprofit, private, and faith-based organizations working  collectively to improve social, health, education, and economic opportunities in the Austin area.",,https://www.canatx.org,"[""Nonprofit - Incorporated""]"
3282,active,Community Blessing Outreach,Community Blessings Outreach,Provides cooked turkeys and full Thanksgiving meals for area families.,,https://www.communityblessingoutreach.org/,"[""Nonprofit - Incorporated""]"
3289,active,Community Coalition for Health,C2H,Hosts interactive educational classes to promote Type 2 diabetes prevention.,,https://www.c2h.us,"[""Nonprofit - Incorporated""]"
