id,name,description,url,email,status,interpretationServices,applicationProcess,feesDescription,accreditations,eligibilityDescription,minimumAge,maximumAge,assuredDate,assurerEmail,alert,lastModified,organizationId,category
65b6a4c2-566f-4a47-915f-1d9dfce2873a,Pregnancy & Family Services,"Offers confidential pregnancy services, including: 
Pregnancy tests   
Limited ultrasounds   
May offer maternity clothes, infant clothes, diapers (sizes preemie  - 6 toddler and pull-ups), baby formula, baby wipes, children's toys, other baby items when available (may include cribs, changing tables, bassinets, etc.)   
Life skills classes   
Fatherhood classes   
Parenting classes (using the Bright Course curriculum) - classes can fulfill requirement for a court ordered parenting program   
Advocacy and case management for families with Child Protective Services (CPS) involvement   
English as a Second Language (ESL) Classes   
Professional counseling by referral   
Referrals for housing, counseling, and other community resources. 

Provides a post-abortion support group. Does not provide abortion referrals nor information about birth control.",http://www.trotterhouse.org,info@trotterhouse.org,ACTIVE,"English, Spanish","Call to schedule an appointment or request an appointment via the online form on the website. Walk-ins may be accepted for some services, but it is preferred to schedule an appointment.",,,- Pregnant women or women who think they might be pregnant; or- Women seeking post-abortion support; or- Families with young children,,,,,,,59667f79-03ec-463b-8fba-e84d6f8d0684,Health Care
2287fb70-b3ba-4667-b26b-6ad230d201a5,Educational Services/Admissions,Provides higher education services at a public university offering undergraduate and graduate degrees. For information about admissions visit or contact Visitor Center.,https://admissions.utexas.edu/explore/visit-campus/,info@utexas.edu,ACTIVE,English,Call or visit the website for information.,Call for information,,Must complete application and be formally accepted for admission,,,,,,,19e864cd-eb4f-4684-8052-8b26158e99a5,Education
98089e7e-3565-445a-91d8-f2fdbfd5b561,Communication Disorders Evaluation and Treatment Services,"Provides evaluation and treatment for individuals experiencing problems with articulation (mispronunciation of sounds), fluency (stuttering), hearing, language (child language impairment or recovering of language from stroke or other brain trauma), and voice (hoarse or strained voice).Offers hearing aid fitting and dispensing. May assist eligible clients in accessing low cost hearing aid programs.Offers a 2-3 week intensive group therapy speech pathology session in the summer.Trains parents to facilitate their child's speech and language development at home.Offers both testing and therapy services in English and Spanish.Services are provided by graduate student clinicians under the supervision of licensed and certified speech-language pathologists and audiologists.",https://slhs.utexas.edu/,slhs@austin.utexas.edu,ACTIVE,"English, Spanish","Intake/evaluation is required. Call to schedule an evaluation. Caller will be asked to provide a description of the speech, language, or hearing concern, and demographic, and financial and/or insurance information. Referrals may be made by physicians, parents, spouses, teachers, agency staff, or by the client seeking services.","Fees apply for assessment, evaluation, and therapy services; Offers sliding scale fee to income eligible clientsLow cost hearing aids may be available, call for information",,"Children and adults in need of therapy services for communication disorders related to aphasia, developmental language disorders, hearing impairment, head injury, laryngectomy, cerebral palsy, learning disabilities, autism, cleft palate, stuttering, and other problems",,,,,,,e0f102da-6a39-432d-941b-39beadc24f62,Mental Health and Substance Abuse
334f7ce7-e443-4188-a0a0-6d352f826a1c,Anxiety & Stress Clinic,"Provides affordable individual and group therapy for a variety of anxiety and stress-related disorders such as:  Anxiety disorders Social Anxiety Disorder (SAD) Obsessive-Compulsive Disorder (OCD) Generalized Anxiety Disorder (GAD) Panic attacks and Panic Disorder Agoraphobia Posttraumatic Stress Disorder (PTSD) Specific Phobias, e.g., spider phobia, snake phobia Depression Stress management and overall wellnessCognitive Behavioral Therapy (CBT) and Exposure & Response Prevention (ERP) are used along with Virtual Reality Treatment (VRT) for specific phobias (e.g., fear of heights, fear of flying.Services are provided by faculty-supervised doctoral students in UT's Clinical Psychology doctoral program, and on a limited basis by licensed psychologists.Offers a Social Anxiety Group Treatment Program as a low-cost, self-guided treatment plan for those who struggle with persistent fears of negative evaluation. This treatment program involves a combination of individual and group therapy.Clinic is an ongoing collaboration between the following institutions: Department of Psychology at UT, Institute for Mental Health Research, Anxiety & Health Behaviors Lab, and the Fitness Institute of Texas.",http://clinics.la.utexas.edu/anxiety-and-stress-clinic/,anxietystressclinic@utexas.edu,ACTIVE,English,"Call to be scheduled for an initial evaluation appointment (approximately 1.5 hours) with an available clinician. Following the initial evaluation, the clinician will provide recommendations for a course of treatment.",Fees for individual therapy vary between $45 to $160 per 50 minute session sliding scale determined by annual income may be availableThe Social Anxiety Group Treatment Program fees:  $45 - Intake with a trained clinician $45 - Individual sessions on the treatment of social anxiety disorder $80 - Four group sessions (minimum of 4 group sessions at $20 per session)   Additional group sessions ($20 per session) and individual check-ins can be added as needed to individual treatment plans,,Adults 18 and older,,,,,,,357451d8-f079-4d30-a9f4-d675d6e883d0,Mental Health and Substance Abuse
12823b9b-4a93-43c3-9f03-5aead5cdcd34,Clinical Psychology Training Clinic,"Provides individual counseling utilizing Cognitive Behavioral Therapy (CBT) for anxiety conditions such as panic attacks, phobias, obsessive-compulsive disorder, and post traumatic stress disorder (PTSD), as well as and uncomplicated depression. Therapists are not trained to work with clients who have psychoses, are actively suicidal, or have a current substance dependence.Clinics operate in conjunction with the academic semesters, with openings typically at the beginnings of semesters.Psychotherapy is provided by clinical psychology doctoral students. Doctoral students work under the supervision of in-house psychologists to provide services.",http://liberalarts.utexas.edu/psychology/areas-of-study/clinical/labs.php,,ACTIVE,English,Call for information and an initial screening in order to be placed on the waiting list. Call in August and December since therapy sessions begin in mid-to-late September and January. Contact collins@utexas.edu for more information.,,,"Individuals ages 18 and up; university students, staff, and faculty as well as non-UT community members are welcome; person seeking couples or family therapy are typically referred to other facilities",,,,,,,357451d8-f079-4d30-a9f4-d675d6e883d0,Mental Health and Substance Abuse
fa6ecadd-97ad-4253-8df0-8e362fc605fd,Laboratory for the Study of Anxiety Disorders (LSAD),"Studies anxiety disorders and provides cognitive behavioral treatment for individuals experiencing significant anxiety, including:   Panic    Obsessive-Compulsive Disorder   Social Anxiety   Generalized Anxiety    Post-Traumatic Stress   Health Anxiety   Fear of spiders, fear of heights, and other specific phobiasProvides clinical evaluation and treatment for anxiety disorders, including: fee-based individual, group, and intensive treatment and no-cost treatment as part of a research study.",http://labs.la.utexas.edu/telch/,DrTelch@gmail.com,ACTIVE,English,Call or email to schedule an evaluation with a clinician to discuss treatment options or possible eligibility for a research study.,"Fee-based individual, group, and intensive treatment: Fees vary depending on treatment needs, call or email for information Research Studies: No-cost treatment may be available as part of a study, call or email for information",,Call or email for information,,,,,,,357451d8-f079-4d30-a9f4-d675d6e883d0,Mental Health and Substance Abuse
27db0c6e-bef8-48b0-826c-b91ed7651ea6,Osher Lifelong Learning Institute (OLLI),Provides membership-based continuing education opportunities for older adults. Offers three six-week sessions of seminars on a variety of academic topics. Hosts social events for members.,http://olli.utexas.edu,utolli@austin.utexas.edu,ACTIVE,English,Visit the website to sign up for the continuing education prospective member list. Interested members will be sent registration information to be completed online.,"Continuing Education Membership Fees: varies by program and ranges between $200 - $650/yr.  Scholarships may be available, visit the website for information.",,Adults living in the area. No prior affiliation with University of Texas required.,,,,,,,5bbf2d58-02bb-4b84-8b0b-997748b30bc9,Education
e357cf82-1bad-4e04-8082-19759c022016,Professional Education and Informal Classes,"Provides professional development classes and certificate programs through the Center for Professional Education. Offers a range of areas of study, such as: business, communication, graphic design, financial planning, human resources, management and leadership, nonprofit management, paralegal, personal trainer, and project management. Offers military specific trainings for Active Duty, National Guard and Reservists.",http://professionaled.utexas.edu,cpe@austin.utexas.edu,ACTIVE,English,Call or visit the website for information.,"Call or visit the website for information. Scholarships are available, call or visit the website for more information.",,Call or visit the website for information.,,,,,,,5bbf2d58-02bb-4b84-8b0b-997748b30bc9,Education
73bcc63c-9b51-4837-b559-fcfeb9563ef8,University Extension Program,"Offers open-enrollment college courses in a variety of formats, including: in-person on campus, self-paced online courses, and online courses that follow the semester schedule. Teaches courses by UT Austin or UT-Austin approved instructors. Does not grant college degrees, but offers course credit that may appear on an official university transcript and count towards degree programs.",http://extension.utexas.edu,uex@austin.utexas.edu,ACTIVE,English,Enrollment required for each class. UT Austin admissions is not required to register and earn college credit.Call or visit the website to enroll or for additional information.,Call or visit the website for information,,Open to the public,,,,,,,5bbf2d58-02bb-4b84-8b0b-997748b30bc9,Education
224f48be-8b9f-4505-b868-eac2532a0a45,Behavior Concerns Advice Line (BCAL),"Provides a confidential advice line for the University of Texas (UT) at Austin's faculty, students and staff to discuss their concerns about another UT individual's behavior. Trained staff provide appropriate guidance and resource referrals to address the particular situation. Dependent on the situation, individuals may be referred to resources including but not limited to the Office of the Dean of Students/Student Emergency Services, Counseling and Mental Health Center, and the Employee Assistance Program.The Behavior Concerns Line can also address COVID-19 concerns.This service is a partnership among the Office of the Dean of Students, the Counseling and Mental Health Center (CMHC), the Employee Assistance Program (EAP) and The University of Texas Police Department (UTPD)",http://safety.utexas.edu/behavior-concerns-advice-line,,ACTIVE,English,"Call the Behavior Concern Advice Line. Calls received are addressed 24 hours 7 days a week.Report Online: HEREA trained staff member will contact you by the next business day Mon to Fri 8:00 am - 6:00 pm, to explore available options and strategies for behavior concerns or answer questions about COVID-19 and facilitate support services.",,,"Open to anyone who has concerns regarding faculty, staff, or students at the University of Texas at Austin",,,,,,,36264bcb-6b33-405e-bb3b-e9cfb17b0c30,Mental Health and Substance Abuse
52621fd4-ec30-42b1-8843-773fa357479e,Student Emergency Services,"Provides outreach, intervention, advocacy, and referrals for currently enrolled students. Conducts outreach with faculty/staff if a student is unable to attend class due to illness or injury.Operates the Student Emergency Fund which may provide financial assistance to students in need.Acts as a central point of contact for families when concerned for a student or when addressing student deaths.Operates the UT Outpost, a free on-campus food pantry and career closet for all currently enrolled students at UT Austin.",http://deanofstudents.utexas.edu/emergency/,studentemergency@austin.utexas.edu,ACTIVE,English,Apply here UT Student Emergency Fund.Visit the website for OutPost hours and availability.,,,"Currently enrolled University of Texas students and faculty/staffTypes of verified emergencies that can be used to apply for the Student Emergency Fund:- Loss of job opportunities,- Change in family incomes,- Natural disasters,- Unexpected medical needs,- And/or victimization due to a crime",,,,,,,36264bcb-6b33-405e-bb3b-e9cfb17b0c30,Mental Health and Substance Abuse
c9c7cafc-a61b-4f8c-9627-8de0e6e14d17,Veteran Nursing Homes,"Provides affordable, long-term nursing care for Texas veterans, their spouses and Gold Star parents. Subsidizes much of the cost, so daily out-of-pocket rates are well below average and include the cost of medications for veterans.Offers private or semi-private rooms, based upon availability. Provides highly specialized care in the Alzheimer's units at each home, including courtyards.Ussery-Roan Texas State Veterans Home1020 Tascosa RoadAmarillo, Texas 79124806-322-8387Lamun-Lusk-Sanchez Texas State Veterans Home1809 North Highway 87Big Spring, Texas 79720-0793432-268-8387Clyde W. Cosper Texas State Veterans Home1300 Seven Oaks RoadBonham, Texas 75418-3254903-640-8387Ambrosio Guillen Texas State Veterans Home9650 Kenworthy StreetEl Paso, Texas 79924915-751-0967Frank M. Tejeda Texas State Veterans Home200 Veterans DriveFloresville, Texas 78114-2709830-216-9456Richard A. Anderson Texas State Veterans Home14041 Cottingham RoadHouston, Texas 77048346-293-9600Alfredo Gonzalez Texas State Veterans Home301 East Yuma AvenueMcAllen, Texas 78503956-682-4224William R. Courtney Texas State Veterans Home1424 Martin Luther King Jr. LaneTemple, Texas 76504-5491254-791-8280Watkins-Logan Texas State Veterans Home11466 Honor LaneTyler, Texas 75708903-617-6150",http://www.glo.texas.gov/vlb/vethomes/index.html,vlbinfo@glo.texas.gov,ACTIVE,"English, Spanish","Visit website for information on each location or see Description section for links. Applicants can download an application from the website. Applications must be printed, filled out, and hand delivered, mailed or faxed to the location of choice. Fax numbers for each facility are included on the application. Call a specific location for more information.","Rates vary based on the need of the veteran, contact VLB for more information",,Must be a veteran or family member of a veteran,,,,,,,9a284291-bd5b-4248-b2ae-c1633c680374,Target Populations
cfe9cd07-36f6-441f-9cc1-12705927c93b,Texas State Veterans Cemeteries,"Provides free burial space for veterans, their spouses, and eligible dependents. Helps each veteran and their family with burial benefits that are identical to those at federal veteran cemeteries.Includes the following burial benefits:   Military honors for Veterans   Grave plot   Opening and closing of the grave   Concrete grave liner for casketed burials   Headstone or marker   Presentation of the burial flag to the next of kin   Presidential certificate   Playing of Taps   Gun salute   Perpetual care of the grave   Funeral home will obtain a burial flag to accompany the Veteran's casket or urn and will assist with requesting military honors.Does not cover funeral home charges such as the cost of a casket, cremation, viewing, flower cars, or transportation of the remains and family. However, if the Veteran dies of a service connected cause of death, the family may be eligible for reimbursement from the VA for some of the funeral home costs up to $2,000.Each cemetery has opportunities for community and Veteran volunteers.",http://www.glo.texas.gov/vlb/cemeteries/index.html,vlbinfo@glo.texas.gov,ACTIVE,"English, Spanish","For questions about eligibility, please call TVLB. Please contact a TVLB cemetery directly for details on their site or to learn more about volunteer opportunities. To make a donation of funds, monuments, or benches, visit the website.",,,"Veterans and members of the armed forces who have met minimum active service duty requirements and were discharged under conditions other than dishonorable; family members are sometimes eligible. Call the Veterans Affairs for exact eligibility requirements, or visit website for general eligibility requirements to be buried at a Texas State Veterans Cemetery.",,,,,,,9a284291-bd5b-4248-b2ae-c1633c680374,Individual and Family Life
cc8791f4-a8a8-4c06-8dc7-1caa9e29172f,Veterans Home Improvement Program (VHIP),"COVID-19 Update:In response to the COVID-19 pandemic, the VLB has issued a temporary moratorium on credit reporting, evictions and foreclosures, and a temporary suspension of late payment penalties. Veterans seeking information on home improvement loan payment deferrals should contact Gateway at the customer service number located in their monthly statement.-----Helps veterans, military members and their spouses buy homes and then helps pay to improve it. Provides below-market interest rate loans to qualified Texas veterans for home repairs and improvement to their existing homes. Offers up to $50,000 for a 20-year loan or up to $10,000 for a 10-year loan. No down-payment is required, however, the program does require the following:   $10 flood certification fee, required at time of application   $125 title search fee, required at time of application   Closing costs.",http://www.glo.texas.gov/vlb/loans/home-improvement-loans/index.html,vlbinfo@glo.texas.gov,ACTIVE,"English, Spanish",Call or visit website for application. See Eligible & Ineligible Improvements for list of repairs and improvements allowed for financing.,"No down payment required, however, the program does require the following:. $10 flood certification fee, required at time of application. $125 title search fee, required at time of application. Closing costs. Call for interest rate information. Veterans with a VA service-connected disability rating of 30% or greater qualify for a discounted interest rate",,"Veterans, military members and their spouses must be Texas residents at least 18 years of age and meet one of the following service criteria: . Active duty military member. Member of the Texas National Guard. Reserve component military member having completed 20 qualifying years for retirement. Veteran having served at least 90 active duty days unless discharged sooner due to service connected disability and not discharged dishonorably. Surviving spouse of a Veteran listed as missing in action or whose death was service connected; call for more eligibility information",,,,,,,9a284291-bd5b-4248-b2ae-c1633c680374,Target Populations
a27786d8-5be2-4443-bbca-e7f1698323de,Veterans Housing Assistance Program (VHAP),"COVID-19 Update:In response to the COVID-19 pandemic, the VLB has issued a temporary moratorium on credit reporting, evictions and foreclosures, and a temporary suspension of late payment penalties. Current borrowers with loans should contact their loan servicer for assistance and more information (the customer service number located on their monthly statement).-----Gives veterans an opportunity to purchase homes with competitive, low-interest loans with little or no down-payments. Veterans, military members and their spouses may receive up to $647,200 on a fixed-rate loan for 15, 20, 25, or 30 year terms*. Veterans with a VA service-connected disability rating of 30% or greater qualify for a discounted interest rate.*All VLB interest rates and available discounts are subject to change at any time. VLB Base Rate is subject to adjustment on the first business day of each week. All VLB loans are subject to credit approval.",http://s3.glo.texas.gov/vlb/loans/home-loans/,vlbinfo@glo.texas.gov,ACTIVE,"English, Spanish",Visit website and select Find a Lender to find a VLB participating lender in county of residence. Call the VLB with any questions or concerns.,Call for information,,"Veterans, military members and their spouses must be Texas residents at least 18 years of age and meet one of the following service criteria: . Active duty military member. Member of the Texas National Guard. Reserve component military member having completed 20 qualifying years for retirement. Veteran having served at least 90 active duty days unless discharged sooner due to service connected disability and not discharged dishonorably. Surviving spouse of a Veteran listed as missing in action or whose death was service connected. Call for more eligibility information",,,,,,,9a284291-bd5b-4248-b2ae-c1633c680374,Target Populations
4f604149-6bb6-46fd-b908-9dac2cbad9f9,Veterans Land Loan Program,"COVID-19 Update:In response to the COVID-19 pandemic, the VLB has issued a temporary moratorium on credit reporting, evictions and foreclosures, and a temporary suspension of late payment penalties. Veterans seeking information on land loan payment deferrals should contact DMI by registering on their website www.dovenmuehle.com under the hardship assistance link. Follow-up calls can be made to 866-397-5370 M-F from 8 a.m. to 5 p.m. -----Gives Texas veterans the opportunity to borrow up to $150,000 to purchase land at competitive interest rates while typically requiring a minimum 5% down payment for tracts one acre or more.Offers Texas veterans exclusive financing towards purchase of their own piece of Texas.The bonds used to fund the program are retired from loan repayments and the cost of administering the program is financed through a small fee charged on each loan.",http://www.glo.texas.gov/vlb/loans/land-loans/index.html,vlbinfo@glo.texas.gov,ACTIVE,"English, Spanish","Visit website to apply for a land loan through VLB. For more information on program, call or visit website.",Minimum 5% down payment required; $325 appraisal and contract service fee; call for interest rate information,,"Veterans, military members and their spouses must be Texas residents at least 18 years of age and meet one of the following service criteria: . Active duty military member. Member of the Texas National Guard. Reserve component military member having completed 20 qualifying years for retirement. Veteran having served at least 90 active duty days unless discharged sooner due to service connected disability and not discharged dishonorably. Surviving spouse of a Veteran listed as missing in action or whose death was service connected . Call for more eligibility information",,,,,,,9a284291-bd5b-4248-b2ae-c1633c680374,Target Populations
4697e161-0346-4ebd-be75-c6557c2836ff,Loaves & Fishes Financial Assistance,"Offers financial assistance for one of the following every 6 months: 
- $50 for a bill, such as: rent, mortgage, utility (e.g. gas, water), or phone bill   
- At least $75 towards Austin Energy Plus 1 utility bill   
- $10 H-E-B gift cards for food (may offer up to 3 gift cards)   
- 31-day bus pass",http://www.allsaints-austin.org/loaves-and-fishes,,ACTIVE,"English, Spanish","To request assistance of any kind: Visit the church on Tues at 9:30 am. It is recommended to arrive at 8:00 am as spaces fill up by 8:30 am. All assistance is available on a first-come, first-served basis as supply allows. Clients must bring the required documents.",,,Anyone in Central Texas able to travel to Austin to apply for assistance,,,,,,,29e61d25-d1e0-4855-995a-c0d2498375bc,Income Support and Employment
2e5e590c-6e78-497d-9f39-8f5b12df2159,Basic Needs Assistance,"Provides financial assistance <mark>for individuals residing in any part of zip codes: 78703, 78705, 78751, or 78756, or a designated part of 78722.</mark> Enter your home address in the SSVdP Locator tool at <a href=""https://austinsvdp.info/""target=""_blank"">austinsvdp.info</a> to confirm St. Austin St. Vincent de Paul serves your address.

May assist with: 
- Rent
- Rental deposit and first month's rent
- Mortgage
- Utility bills (including electric, gas, and water)
- Eye exams and eyeglasses
- Prescriptions
- Vouchers for clothing, furniture, and household goods to be used at St. Vincent de Paul Thrift Store in Austin

<i>Society of St. Vincent de Paul (SSVdP) is a volunteer led organization that provides services within St. Austin Catholic Church parish boundaries. Eligible clients may receive assistance ONLY if they live within these boundaries. Enter your home address in the SSVdP Locator tool at <a href=""https://austinsvdp.info/""target=""_blank"">austinsvdp.info</a> to find the SSVdP that serves your area.<i>",https://www.staustin.org/get-help#svdp,,ACTIVE,"English, Spanish","Enter your home address in the SSVdP Locator tool at <a href=""https://austinsvdp.info/""target=""_blank"">austinsvdp.info</a> to confirm which Society of St. Vincent de Paul serves your address.

<mark>Eligible individuals within the parish boundaries must call and leave a message including name, address, and phone number. A volunteer will call back within 1 - 2 days to schedule a home visit.</mark>",,,"Individuals living in any part of the following zip codes: 78703, 78705, 78751, or 78756; OR in the designated portion of 78722",,,,,,,4b2715ce-cbf3-4587-bb77-eaa361103cff,Income Support and Employment
f4146e82-30b1-483f-a3f4-2685de17f2eb,Outreach Program,"Offers limited financial assistance via a weekly drawing for either rent or ONE utility bill (including electric, water, or gas bill). Does not assist with rent or utility deposits. Does not assist with hotel or motel payments. Rental payments cannot be made to individuals, even those with a lease.

Services provided:
- Limited financial assistance for rent or utilities",https://staustin.org/help,gethelp@staustin.org,ACTIVE,"English, Spanish","To apply for remote assistance: text or email the following information to gethelp@staustin.org or ayuda@staustin.org for Spanish-speakers: your phone number, your ID, and your utility bill or lease in your name. 

Lottery drawings for assistance and assistance interviews for those chosen are completed by 12pm. Visit St. Austin's website or call the office for parking information. 

Everyone who has applied for assistance and is eligible will be put in a weekly, random drawing to receive assistance. If you are chosen in the drawing, you will receive a call on Thursday morning between 9:00 a.m. and 12:00 p.m. from a ""blocked call"" number. You must answer your phone to receive assistance.",,,"- City of Austin residents with an Austin Energy/City of Austin utility bill who have not been helped by St. Austin in the past 12 months are eligible to receive rent or utility assistance. 

*Residents living in 78703, 78705, 78722, 78731, 78751, or 78756 are NOT eligible.",,,,,,,4b2715ce-cbf3-4587-bb77-eaa361103cff,Utilities
f45a5579-a0f7-44d0-9d0a-dcd0c0219a3b,University Presbyterians Living in Faith Together (UPLIFT),"Provides limited financial assistance with utilities (natural gas, electricity, water) to individuals in need. Funds for utilities are first come first serve and are usually exhausted by the second week of the month.

No rent assistance is provided.",http://upcaustin.org/serve/getting-help/,upliftplus1@upcaustin.org,ACTIVE,English,"Email a telephone number, an available time to join a three-way call with Austin Energy, and required documents to upliftplus1@upcaustin.org. 

UPLift is also open for in person assistance on Tuesday mornings. The gates open at 9:30 am at University Presbyterian Church - 2203 San Antonio St., Austin, TX 78705

Call for questions or concerns.",,,Austin Energy customers,,,,,,,0ba02c6f-2c9d-4f4d-a062-6834164f7414,Individual and Family Life
5d2637c9-04bd-4755-917b-d90f6916c16c,UpLift General Assistance,"Provides limited basic needs assistance to Travis County residents. Services include:  
- Cap Metro Vouchers drawing 7-day bus passes
- Work shoes
- Eye exams and glasses

No rent assistance is provided.",http://upcaustin.org/,upliftplus1@upcaustin.org,ACTIVE,,Individuals should visit the church during service distribution hours. Can call for more information.,,,Residents of Austin; For work shoes: must be currently employed,,,,,,,0ba02c6f-2c9d-4f4d-a062-6834164f7414,Organizational/Community Services
f953f1d8-c820-4993-a07b-76cccb7c8a32,Saturday Brunch and Clothing Services,"Serves brunch and distributes toiletries, socks, and underwear, and, when available, gently used clothing, books, and magazines. Does not provide furniture or appliances. Does not provide any financial assistance.",https://www.uumc.org/open-door,office@uumc.org,ACTIVE,English,Walk in to receive services.,,,Open to anyone,,,,,,,bdbaaf28-8dbf-4073-9da1-b2dd905cfbce,Individual and Family Life
fb41ca70-b6f4-4862-aaa1-5f47a3fe006b,Community Microloan Program,"Offers interest-free microloans of up to $1500 to help eligible individuals start, grow, or stabilize a small business. The loan may be used for eligible business expenses, such as: new tools, equipment, laptop, software, website development, and more. Borrowers can repay over six to 15 months depending on the size of the loan. Electronic payment is an option.",www.uumc.org/microloan,Microloan@uumc.org,ACTIVE,"English, Spanish","Complete the following steps to apply:
1. Call or email to start the application process, and schedule an Intake Interview.
2. At the intake, two church volunteers will collect information about applicant's work history, loan amount requested, how the loan will be used, and business goals.
3. The church's Microloan Team will review the Intake and determine whether or not to proceed to a second in-person Business & Financial Planning Interview.
4. The applicant will be asked to complete a brief written loan application. Visit website for a list of questions applicant may be asked at the interview.  The applicant will not be asked to provide financial documents, but will be asked about outstanding loans.
5. The church's Microloan Team will vote to approve or deny the loan based on the interviews and written application.
6. If the loan is approved, a contract with a repayment schedule will be signed by both parties and a check will be delivered. The entire process can take a few weeks.","No-interest, no-fee loan",,"- Residents of Travis and surrounding counties who can demonstrate a good business track record of at least one year; and
- Startup applicants must provide written business plan",,,,,,,bdbaaf28-8dbf-4073-9da1-b2dd905cfbce,Organizational/Community Services
